country,year,co2,gdp,population,co2_per_capita,gdp_per_capita,co2_intensity_per_gdp
Germany,2022,671.472,3909612732416.0,84086228.0,7.986,46495.280207075055,0.00017174898025898704
Georgia,2022,11.527,70528606208.0,3794783.0,3.038,18585.675704776793,0.00016343722951230676
Gambia,2022,0.737,4656793600.0,2636473.0,0.28,1766.2967153466013,0.00015826340252657965
Ukraine,2022,141.126,309166669824.0,41048767.0,3.438,7531.691995133496,0.000456472232535089
Kazakhstan,2022,254.414,503634067456.0,20034612.0,12.699,25138.199205255383,0.000505156454735316
Kenya,2022,21.397,190362157056.0,54252456.0,0.394,3508.8210026104625,0.00011240154204443855
Uzbekistan,2022,125.039,393572450304.0,34938955.0,3.579,11264.574178134406,0.0003177026235027843
Mozambique,2022,8.358,31441725440.0,32656240.0,0.256,962.8091121329338,0.0002658251060664437
Morocco,2022,69.506,311654973440.0,37329069.0,1.862,8348.854707305987,0.0002230222711763698
Montenegro,2022,2.391,12774400000.0,614650.0,3.889,20783.209956886032,0.00018717121743486975
Mongolia,2022,43.415,44809465856.0,3386015.0,12.822,13233.68793581836,0.000968880105366994
Moldova,2022,5.79,23827554304.0,3039987.0,1.905,7838.044802165273,0.00024299598381475584
Mexico,2022,465.336,2033437638656.0,128613113.0,3.618,15810.500121056863,0.00022884203142200304
Mauritius,2022,3.928,26988574720.0,1276134.0,3.078,21148.699682008315,0.00014554306927105486
Uruguay,2022,7.82,69066227712.0,3390913.0,2.306,20368.032949238153,0.00011322465782565541
Mauritania,2022,4.578,15674545152.0,4875645.0,0.939,3214.8659617342937,0.00029206589126548713
Malta,2022,1.774,18295134208.0,528194.0,3.358,34637.148865757656,9.69656729396538e-05
Mali,2022,6.988,30551085056.0,23072639.0,0.303,1324.126167622178,0.00022873164691830186
France,2022,293.502,2671568748544.0,66277412.0,4.428,40308.887567064325,0.0001098612941029341
Malaysia,2022,285.448,877584187392.0,34695494.0,8.227,25293.895149381646,0.0003252656600938684
Madagascar,2022,4.309,38602186752.0,30437263.0,0.142,1268.2542038027532,0.00011162580057143391
Luxembourg,2022,7.277,36128358400.0,653316.0,11.138,55299.97489729319,0.00020142072106990616
Lithuania,2022,12.857,84814258176.0,2816922.0,4.564,30108.84155684822,0.00015159007785365693
Libya,2022,57.546,91444477952.0,7223804.0,7.966,12658.770635526656,0.0006292998909152983
Liberia,2022,0.792,4231560960.0,5373296.0,0.147,787.5168164940104,0.00018716497469529545
Lesotho,2022,3.833,4761723392.0,2286112.0,1.676,2082.8915608684088,0.0008049606590839959
Lebanon,2022,18.922,48741707776.0,5744494.0,3.294,8484.943630544309,0.0003882096229980073
Latvia,2022,6.62,51248480256.0,1881058.0,3.519,27244.497647600445,0.000129174562190553
Laos,2022,23.436,54953902080.0,7559007.0,3.1,7269.989574027382,0.00042646653127347857
Kyrgyzstan,2022,10.032,31703001088.0,6955792.0,1.442,4557.784517995938,0.00031643691939931966
Kuwait,2022,97.461,218961231872.0,4589514.0,21.235,47709.02362908142,0.0004451061914785609
Malawi,2022,1.748,26465351680.0,20568731.0,0.085,1286.6788758139721,6.604862165202107e-05
Zimbabwe,2022,10.425,25901586432.0,16069061.0,0.649,1611.8917236047582,0.0004024849994176604
